l2_tenant_id,order_id,user_id,product_id,category,quantity,amount,order_time,channel
loom_fashion,ORD-LOOM-001285,loom_fashion_user_0162,LF-FA03,fashion,3,14619.87,2026-04-04 11:28:00,website
nest_home,ORD-NEST-001889,nest_home_user_0159,NH-FA01,fashion,1,4217.73,2026-01-13 10:55:00,website
loom_fashion,ORD-LOOM-000897,loom_fashion_user_0194,LF-FA03,fashion,2,2880.58,2025-08-25 22:36:00,website
loom_fashion,ORD-LOOM-000963,loom_fashion_user_0190,LF-BE01,beauty,3,14512.77,2025-11-07 01:53:00,website
aura_beauty,ORD-AURA-000530,aura_beauty_user_0067,AB-SK04,skincare,1,2967.4,2025-08-14 01:04:00,instagram
aura_beauty,ORD-AURA-000355,aura_beauty_user_0145,AB-BE03,beauty,3,4458.84,2025-11-28 19:02:00,instagram
nest_home,ORD-NEST-001376,nest_home_user_0163,NH-HO04,home,1,4630.83,2025-10-23 13:08:00,shopee
nest_home,ORD-NEST-001648,nest_home_user_0039,NH-HO02,home,2,6413.94,2025-07-16 21:05:00,website
loom_fashion,ORD-LOOM-001320,loom_fashion_user_0118,GEN-SK01,skincare,2,4476.16,2026-03-11 04:18:00,website
loom_fashion,ORD-LOOM-001198,loom_fashion_user_0179,LF-FA03,fashion,2,8297.8,2025-01-02 14:55:00,shopee
aura_beauty,ORD-AURA-000053,aura_beauty_user_0165,AB-SK03,skincare,2,5805.54,2026-01-31 08:22:00,instagram
nest_home,ORD-NEST-001445,nest_home_user_0150,NH-HO01,home,3,5485.2,2026-01-11 06:27:00,website
aura_beauty,ORD-AURA-000594,aura_beauty_user_0038,AB-SK02,skincare,2,1883.6,2025-10-17 18:42:00,instagram
nest_home,ORD-NEST-001544,nest_home_user_0067,NH-HO03,home,2,5433.84,2026-03-30 05:18:00,instagram
nest_home,ORD-NEST-001678,nest_home_user_0121,NH-FA01,fashion,2,4696.06,2026-03-24 07:11:00,instagram
aura_beauty,ORD-AURA-000010,aura_beauty_user_0164,AB-BE03,beauty,3,3539.46,2025-08-25 12:17:00,instagram
loom_fashion,ORD-LOOM-000959,loom_fashion_user_0150,LF-FA01,fashion,1,3263.23,2026-01-31 10:21:00,shopee
loom_fashion,ORD-LOOM-000939,loom_fashion_user_0090,LF-BE02,beauty,2,2215.26,2025-06-26 11:26:00,website
nest_home,ORD-NEST-001422,nest_home_user_0070,NH-HO04,home,3,8022.93,2025-06-20 01:28:00,shopee
nest_home,ORD-NEST-001364,nest_home_user_0128,NH-FA01,fashion,2,10268.46,2025-09-15 03:44:00,instagram
